t,surface,P1
1,38.47,38.52
2,38.95,40.08
3,39.27,41.64
4,39.51,43.18
5,39.71,44.67
6,39.88,46.09
7,40.02,47.45
8,40.15,48.74
9,40.26,49.96
10,40.37,51.12
11,40.46,52.23
12,40.55,53.29
13,40.63,54.29
14,40.71,55.26
15,40.78,56.18
16,40.85,57.06
17,40.91,57.91
18,40.97,58.73
19,41.03,59.51
20,41.08,60.27
21,41.13,61
22,41.18,61.71
23,41.23,62.39
24,41.28,63.06
25,41.32,63.7
26,41.36,64.32
27,41.4,64.92
28,41.44,65.51
29,41.48,66.08
30,41.52,66.63
31,41.56,67.17
32,41.59,67.7
33,41.62,68.21
34,41.66,68.71
35,41.69,69.2
36,41.72,69.68
37,41.75,70.15
38,41.78,70.6
39,41.81,71.05
40,41.84,71.48
41,41.86,71.91
42,41.89,72.32
43,41.92,72.73
44,41.94,73.13
45,41.97,73.53
46,41.99,73.91
47,42.01,74.29
48,42.04,74.66
49,42.06,75.02
50,42.08,75.38
51,42.1,75.73
52,42.13,76.07
53,42.15,76.41
54,42.17,76.74
55,42.19,77.07
56,42.21,77.39
57,42.23,77.71
58,42.25,78.02
59,42.27,78.32
60,42.28,78.62
61,42.3,78.92
62,42.32,79.21
63,42.34,79.5
64,42.36,79.78
65,42.37,80.06
66,42.39,80.34
67,42.41,80.61
68,42.42,80.88
69,42.44,81.14
70,42.45,81.4
71,42.47,81.65
72,42.48,81.91
73,42.5,82.16
74,42.52,82.4
75,42.53,82.64
76,42.54,82.88
77,42.56,83.12
78,42.57,83.35
79,42.59,83.58
80,42.6,83.81
81,42.61,84.04
82,42.63,84.26
83,42.64,84.48
84,42.65,84.69
85,42.67,84.91
86,42.68,85.12
87,42.69,85.33
88,42.7,85.53
89,42.72,85.74
90,42.73,85.94
91,42.74,86.14
92,42.75,86.34
93,42.76,86.53
94,42.78,86.73
95,42.79,86.92
96,42.8,87.11
97,42.81,87.29
98,42.82,87.48
99,42.83,87.66
100,42.84,87.84
101,42.85,88.02
102,42.86,88.2
103,42.87,88.37
104,42.88,88.55
105,42.9,88.72
106,42.91,88.89
107,42.92,89.06
108,42.93,89.22
109,42.94,89.39
110,42.94,89.55
111,42.95,89.71
112,42.96,89.87
113,42.97,90.03
114,42.98,90.19
115,42.99,90.35
116,43,90.5
117,43.01,90.65
118,43.02,90.81
119,43.03,90.96
120,43.04,91.1
121,43.05,91.25
122,43.05,91.4
123,43.06,91.54
124,43.07,91.69
125,43.08,91.83
126,43.09,91.97
127,43.1,92.11
128,43.1,92.25
129,43.11,92.39
130,43.12,92.52
131,43.13,92.66
132,43.14,92.79
133,43.14,92.92
134,43.15,93.06
135,43.16,93.19
136,43.17,93.32
137,43.18,93.44
138,43.18,93.57
139,43.19,93.7
140,43.2,93.82
141,43.21,93.95
142,43.21,94.07
143,43.22,94.19
144,43.23,94.32
145,43.23,94.44
146,43.24,94.56
147,43.25,94.67
148,43.26,94.79
149,43.26,94.91
150,43.27,95.02
151,43.28,95.14
152,43.28,95.25
153,43.29,95.37
154,43.3,95.48
155,43.3,95.59
156,43.31,95.7
157,43.32,95.81
158,43.32,95.92
159,43.33,96.03
160,43.33,96.14
161,43.34,96.24
162,43.35,96.35
163,43.35,96.45
164,43.36,96.56
165,43.37,96.66
166,43.37,96.77
167,43.38,96.87
168,43.38,96.97
169,43.39,97.07
170,43.39,97.17
171,43.4,97.27
172,43.41,97.37
173,43.41,97.47
174,43.42,97.56
175,43.42,97.66
176,43.43,97.76
177,43.43,97.85
178,43.44,97.94
179,43.45,98.03
180,43.45,98.1
